name,model,tree_length
2482,JTT+F+G,1.453
8889,JTT+F+G,0.354
8859,WAG+F+G,1.357
40708,LG+F,0.053
9455,Poisson+F+G,1.532
10436,LG+F,0.722
26618,FLU+F+G,1.029
2212,Poisson+F+G,8.104
7692,Poisson+F,2.378
40135,FLU+F,0.101
12757,LG+F,3.509
38510,LG+F,0.696
1427,JTT+F+G,0.416
3240,WAG+F+G,0.520
40066,WAG+F+G,1.021
4991,LG+F,1.498
11367,FLU+F+G,3.182
4249,WAG+F+G,0.669
4299,JTT+F+G,2.461
6288,JTT+F,0.189
28005,WAG+F+G,0.729
11771,JTT+F,1.567
12531,LG+F,0.000
7827,FLU+F,3.941
2102,WAG+F+G,1.548
6406,LG+F,1.041
11292,JTT+F,0.227
11289,Poisson+F+G,0.321
38776,LG+F,2.199
7856,FLU+F+G,0.057
8314,Poisson+F,1.143
31951,WAG+F,0.318
13080,FLU+F+G,0.207
1177,JTT+F+G,0.835
7805,WAG+F,0.556
10650,LG+F,1.006
1957,LG+F,1.274
11637,FLU+F+G,2.698
2437,LG+F+G,0.454
3710,WAG+F+G,0.263
6109,Poisson+F+G,0.905
43609,Poisson+F+G,1.775
6896,LG+F,0.385
2405,FLU+F,0.615
5340,Poisson+F+G,1.093
25987,JTT+F+G,0.053
9503,WAG+F,1.189
14093,WAG+F+G,2.782
12962,FLU+F+G,0.391
8843,FLU+F+G,0.535
2448,FLU+F+G,0.321
41362,JTT+F,0.264
12308,JTT+F+G,0.918
4244,JTT+F,1.195
4703,FLU+F+G,0.503
29338,JTT+F,0.170
33954,WAG+F,1.767
5822,FLU+F,0.143
834,FLU+F+G,3.417
12320,Poisson+F+G,0.264
15651,JTT+F+G,0.518
41648,JTT+F,1.055
30677,JTT+F+G,0.659
17438,WAG+F,0.974
44996,LG+F,0.888
11169,Poisson+F+G,1.608
19567,Poisson+F+G,0.207
9821,LG+F,1.421
12838,FLU+F,0.818
16559,LG+F,3.216
9029,WAG+F,0.126
64,FLU+F,4.080
7428,LG+F+G,2.656
8731,Poisson+F,1.387
11498,LG+F,3.730
9521,FLU+F,0.948
13774,JTT+F,2.191
10835,LG+F+G,0.055
5111,FLU+F+G,3.321
20335,LG+F,0.324
25765,LG+F+G,2.029
10526,FLU+F,0.938
26352,WAG+F+G,0.566
4839,JTT+F+G,1.894
2608,LG+F,1.228
37937,LG+F,0.065
2118,FLU+F+G,1.435
41639,Poisson+F+G,4.130
4139,Poisson+F+G,0.604
8779,JTT+F+G,1.415
12688,WAG+F+G,1.657
7034,WAG+F,1.496
4253,FLU+F+G,1.120
24579,LG+F+G,0.521
7370,Poisson+F+G,0.137
7838,LG+F,1.977
22658,Poisson+F,0.699
7016,FLU+F,0.106
23069,WAG+F,0.630
41510,LG+F+G,0.596
2128,LG+F+G,0.120
32540,WAG+F+G,0.946
10504,WAG+F,1.533
12530,LG+F,0.580
6077,JTT+F,2.081
12837,JTT+F+G,1.904
15321,WAG+F,1.753
17192,Poisson+F,1.301
21204,LG+F+G,1.281
4686,WAG+F+G,3.616
8480,Poisson+F,1.606
4656,JTT+F+G,0.147
2319,FLU+F,0.193
961,JTT+F+G,2.164
18465,Poisson+F+G,2.918
13222,Poisson+F+G,1.621
951,LG+F+G,1.949
2611,WAG+F,0.353
6897,LG+F,0.172
29862,FLU+F+G,3.801
6449,LG+F+G,0.018
11892,JTT+F+G,0.830
29208,JTT+F+G,0.382
11842,WAG+F+G,0.015
3965,FLU+F+G,2.039
1320,Poisson+F+G,0.266
5044,JTT+F+G,2.281
32195,FLU+F+G,0.212
4766,LG+F,1.062
10651,LG+F,1.932
5094,WAG+F+G,2.857
6561,WAG+F+G,1.181
5207,WAG+F,0.468
31460,FLU+F+G,3.850
4500,LG+F,1.632
8903,Poisson+F+G,1.032
38981,LG+F,1.951
5590,LG+F+G,0.384
12503,LG+F+G,0.861
21599,Poisson+F+G,1.185
28698,WAG+F,2.811
33438,LG+F+G,0.021
12737,WAG+F,1.488
4990,LG+F,0.692
33692,FLU+F,0.028
7373,WAG+F+G,0.741
1461,JTT+F,0.101
3851,LG+F,1.504
5342,Poisson+F,1.683
7106,Poisson+F,0.289
3149,LG+F+G,1.387
5212,Poisson+F,1.124
7056,Poisson+F,3.116
1038,WAG+F+G,0.486
6661,LG+F,3.406
1182,JTT+F,0.307
2355,LG+F+G,0.290
12756,LG+F,0.257
5225,FLU+F,2.206
42468,LG+F,1.238
36433,Poisson+F+G,1.837
29250,LG+F+G,0.763
5514,JTT+F+G,0.167
13890,JTT+F,0.338
33371,FLU+F,0.353
7728,WAG+F,0.051
18541,LG+F,3.168
7220,FLU+F,2.278
12297,JTT+F+G,0.419
11895,JTT+F,1.748
11212,Poisson+F+G,1.004
31374,FLU+F,0.384
1793,LG+F+G,0.791
3310,Poisson+F+G,3.081
26544,Poisson+F,3.371
10420,JTT+F+G,0.443
20388,Poisson+F,1.462
2609,LG+F,1.650
3464,JTT+F,5.762
8557,Poisson+F+G,1.026
38794,WAG+F,1.059
6192,Poisson+F+G,0.316
5637,Poisson+F,0.324
311,WAG+F+G,2.943
6156,LG+F+G,1.167
9574,WAG+F+G,0.479
13485,JTT+F+G,0.167
36473,WAG+F+G,1.208
21214,JTT+F+G,0.926
38316,Poisson+F+G,4.276
7202,WAG+F,0.036
11809,LG+F,0.060
4558,JTT+F,0.555
17306,FLU+F,5.164
29424,JTT+F,0.016
20186,WAG+F+G,0.951
12717,WAG+F+G,3.535
9717,FLU+F,0.420
2087,FLU+F+G,2.096
35156,JTT+F+G,3.113
11880,Poisson+F,1.418
691,JTT+F+G,2.036
7903,JTT+F+G,1.805
13105,WAG+F+G,2.314
3456,LG+F+G,0.222
4591,JTT+F,0.538
31681,Poisson+F+G,1.983
11499,LG+F,0.906
36123,WAG+F+G,1.246
8892,JTT+F,0.659
34744,JTT+F+G,1.208
4242,Poisson+F+G,2.838
3695,FLU+F+G,2.990
11762,JTT+F+G,3.631
7369,FLU+F+G,5.801
23850,LG+F+G,0.047
18727,LG+F,0.715
16621,Poisson+F,0.428
14471,JTT+F+G,0.434
3119,Poisson+F+G,1.253
9263,Poisson+F,3.997
21839,LG+F,0.971
6586,FLU+F+G,4.360
3617,WAG+F,1.259
24487,WAG+F+G,0.888
4331,FLU+F+G,0.938
9333,Poisson+F,0.456
16216,WAG+F+G,0.767
12065,LG+F,0.960
14535,Poisson+F,1.328
12802,Poisson+F,0.484
6152,LG+F,0.453
34769,WAG+F+G,1.049
8685,LG+F+G,0.087
3668,FLU+F+G,1.100
10304,LG+F,2.378
2514,LG+F+G,3.369
30245,JTT+F+G,0.356
7394,FLU+F+G,1.373
5523,FLU+F+G,2.649
10588,JTT+F,2.073
15809,FLU+F+G,0.242
13128,JTT+F+G,0.504
9817,LG+F+G,0.560
22639,Poisson+F+G,1.452
3708,LG+F+G,0.809
7071,JTT+F,0.047
9009,JTT+F+G,2.322
4223,FLU+F,0.365
32975,Poisson+F+G,0.888
10182,Poisson+F+G,1.062
20659,LG+F+G,0.213
10162,LG+F,0.363
4661,FLU+F+G,0.899
2080,Poisson+F+G,2.196
41157,Poisson+F,0.160
1843,LG+F+G,2.556
32694,FLU+F,2.564
35458,Poisson+F,2.488
9973,Poisson+F+G,0.286
7202,Poisson+F+G,0.036
3338,FLU+F+G,0.408
6334,LG+F,2.071
10087,LG+F+G,1.860
956,FLU+F+G,6.129
12203,LG+F,0.305
5073,FLU+F+G,0.428
4709,FLU+F,0.339
3982,WAG+F+G,1.461
6208,LG+F+G,2.086
13478,JTT+F+G,1.254
4201,WAG+F,0.859
3952,JTT+F+G,0.437
21239,WAG+F+G,1.611
20161,FLU+F+G,2.379
43421,JTT+F+G,0.470
15152,JTT+F,1.341
37817,Poisson+F+G,0.047
7840,JTT+F,0.222
18942,LG+F+G,0.269
6204,WAG+F,0.620
4991,FLU+F+G,1.642
18014,LG+F,0.655
13441,LG+F+G,0.376
11716,FLU+F,0.504
33890,WAG+F+G,0.328
10147,FLU+F+G,2.136
2060,WAG+F+G,3.055
41246,WAG+F+G,0.395
20609,Poisson+F+G,0.406
2360,Poisson+F+G,4.886
2462,JTT+F,1.100
9383,LG+F,1.452
1015,JTT+F+G,2.624
30399,WAG+F,0.020
519,FLU+F,0.178
2748,Poisson+F,2.346
7934,FLU+F+G,3.030
9527,Poisson+F+G,0.876
32438,FLU+F+G,0.254
4184,Poisson+F,0.744
38289,WAG+F+G,0.189
6226,FLU+F,0.379
39779,FLU+F,0.600
3672,WAG+F+G,0.186
10262,Poisson+F+G,0.450
5232,Poisson+F+G,0.272
9716,Poisson+F,0.643
8381,FLU+F+G,1.980
10598,Poisson+F,0.403
9894,JTT+F,1.091
5074,JTT+F,0.283
14040,Poisson+F,0.260
5597,JTT+F,1.775
1338,WAG+F,0.358
8733,WAG+F,0.186
2530,WAG+F+G,2.877
42964,LG+F+G,0.168
9646,Poisson+F,1.682
10417,FLU+F+G,0.304
1545,JTT+F+G,6.693
9593,FLU+F+G,1.650
36494,FLU+F+G,0.938
1595,WAG+F+G,0.602
30945,Poisson+F+G,0.505
5069,WAG+F+G,4.197
10916,LG+F+G,2.246
12544,JTT+F,0.748
10598,LG+F+G,0.479
36266,LG+F+G,2.999
16300,FLU+F,0.464
11205,FLU+F+G,0.636
3322,WAG+F+G,4.661
12675,WAG+F+G,1.249
8784,JTT+F+G,1.459
10163,LG+F,1.355
8754,WAG+F+G,0.601
6071,Poisson+F,0.941
16389,WAG+F+G,1.302
4037,WAG+F,0.888
4814,WAG+F+G,0.356
6419,FLU+F+G,0.585
33915,FLU+F+G,1.405
22653,WAG+F+G,0.508
16925,WAG+F,1.087
10012,JTT+F+G,0.985
9146,WAG+F+G,4.713
43854,Poisson+F+G,0.019
1140,FLU+F+G,5.909
2276,LG+F+G,8.890
8425,Poisson+F+G,3.062
13067,WAG+F+G,1.537
38818,LG+F+G,1.055
723,WAG+F+G,2.421
3262,Poisson+F+G,0.111
7861,JTT+F+G,1.155
29169,FLU+F,4.933
38045,LG+F,0.299
11360,Poisson+F+G,14.756
11600,JTT+F+G,1.164
12129,Poisson+F+G,0.938
12202,LG+F,0.582
25302,Poisson+F,0.855
1092,LG+F,0.534
